agent_id,timestep,x,y,variance,replanned
0,0,0.9962,1.2000,0.2000,0
0,1,0.9888,1.3998,0.2000,1
0,2,0.9814,1.5997,0.2000,0
0,3,1.1805,1.6194,0.2000,1
0,4,1.3664,1.6379,0.2000,0
0,5,1.5655,1.6576,0.2000,0
0,6,1.7515,1.6760,0.2000,0
0,7,1.9505,1.6958,0.2000,0
0,8,2.1365,1.7142,0.2000,0
0,9,2.3355,1.7339,0.2000,0
0,10,2.5215,1.7524,0.2000,0
0,11,2.7205,1.7721,0.2000,0
0,12,2.9065,1.7905,0.2000,0
0,13,3.1055,1.8103,0.2000,0
0,14,3.2915,1.8287,0.2000,0
0,15,3.4905,1.8484,0.2000,0
0,16,3.6765,1.8669,0.2000,0
0,17,3.8755,1.8866,0.2000,0
0,18,4.0615,1.9051,0.2000,0
0,19,4.2605,1.9248,0.2000,0
0,20,4.4465,1.9432,0.2000,0
0,21,4.6456,1.9630,0.2000,0
0,22,4.8315,1.9814,0.2000,0
0,23,5.0306,2.0011,0.2000,0
0,24,5.2166,2.0196,0.2000,0
0,25,5.4151,1.9952,0.2000,1
0,26,5.6136,1.9708,0.2000,0
0,27,5.6383,1.9677,0.2000,0
0,28,5.8368,1.9433,0.2000,0
0,29,6.0353,1.9189,0.2000,0
0,30,6.0600,1.9159,0.2000,0
0,31,6.2585,1.8915,0.2000,0
0,32,6.4570,1.8671,0.2000,0
0,33,6.4817,1.8641,0.2000,0
0,34,6.6802,1.8397,0.2000,0
0,35,6.8787,1.8153,0.2000,0
0,36,6.9035,1.8122,0.2000,0
0,37,7.1020,1.7879,0.2000,0
0,38,7.3005,1.7635,0.2000,0
0,39,7.3252,1.7604,0.2000,0
0,40,7.5104,1.8359,0.2000,0
0,41,7.6956,1.9113,0.2000,0
0,42,7.7727,1.9427,0.2000,0
0,43,7.9580,2.0182,0.2000,0
0,44,8.1432,2.0936,0.2000,0
0,45,8.2203,2.1250,0.2000,0
0,46,8.4055,2.2005,0.2000,0
0,47,8.5907,2.2759,0.2000,0
0,48,8.6678,2.3073,0.2000,0
0,49,8.8678,2.3105,0.2000,1
0,50,9.0660,2.2839,0.2000,1
0,51,9.2358,2.2611,0.2000,0
0,52,9.4340,2.2345,0.2000,0
0,53,9.6038,2.2117,0.2000,0
0,54,9.7930,2.1467,0.2000,1
0,55,9.6139,2.0576,0.2000,1
0,56,9.7408,1.9029,0.2000,1
0,57,9.8415,1.7301,0.2000,1
0,58,9.9759,1.5820,0.2000,1
0,59,10.0694,1.4052,0.2000,1
0,60,10.2066,1.2597,0.2000,1
1,0,14.8001,2.0059,0.2000,0
1,1,14.6003,2.0145,0.2000,1
1,2,14.4005,2.0231,0.2000,1
1,3,14.2006,2.0317,0.2000,0
1,4,14.1994,2.0318,0.2000,0
1,5,13.9996,2.0404,0.2000,0
1,6,13.7997,2.0490,0.2000,0
1,7,13.7985,2.0491,0.2000,0
1,8,13.5987,2.0577,0.2000,0
1,9,13.3988,2.0663,0.2000,0
1,10,13.3976,2.0664,0.2000,0
1,11,13.1978,2.0750,0.2000,0
1,12,12.9979,2.0836,0.2000,0
1,13,12.9967,2.0837,0.2000,0
1,14,12.7969,2.0923,0.2000,0
1,15,12.5970,2.1009,0.2000,0
1,16,12.5958,2.1010,0.2000,0
1,17,12.3960,2.1096,0.2000,0
1,18,12.1961,2.1182,0.2000,0
1,19,12.1949,2.1183,0.2000,0
1,20,11.9951,2.1269,0.2000,0
1,21,11.7952,2.1355,0.2000,0
1,22,11.7940,2.1355,0.2000,0
1,23,11.5941,2.1442,0.2000,0
1,24,11.3943,2.1528,0.2000,0
1,25,11.3931,2.1528,0.2000,0
1,26,11.1932,2.1615,0.2000,0
1,27,10.9934,2.1701,0.2000,0
1,28,10.9922,2.1701,0.2000,0
1,29,10.7923,2.1788,0.2000,0
1,30,10.5925,2.1874,0.2000,0
1,31,10.5913,2.1874,0.2000,0
1,32,10.3914,2.1961,0.2000,0
1,33,10.5795,2.1281,0.2000,1
1,34,10.7378,2.0058,0.2000,1
1,35,10.8323,1.8296,0.2000,1
1,36,10.9269,1.6533,0.2000,0
1,37,10.9571,1.5969,0.2000,0
1,38,11.0516,1.4207,0.2000,0
1,39,11.1461,1.2444,0.2000,0
1,40,11.1764,1.1880,0.2000,0
1,41,11.2709,1.0118,0.2000,0
1,42,11.2797,0.8120,0.2000,1
1,43,11.2852,0.6873,0.2000,0
1,44,11.2941,0.4875,0.2000,0
1,45,11.2996,0.3628,0.2000,0
1,46,11.3084,0.1630,0.2000,0
1,47,11.3139,0.0383,0.2000,0
1,48,11.3228,-0.1615,0.2000,0
1,49,11.3283,-0.2862,0.2000,0
1,50,11.3371,-0.4860,0.2000,0
1,51,11.3426,-0.6107,0.2000,0
1,52,11.1800,-0.7272,0.2000,1
1,53,11.0402,-0.8702,0.2000,1
1,54,10.9004,-1.0132,0.2000,0
1,55,10.8923,-1.0215,0.2000,0
1,56,10.7525,-1.1645,0.2000,0
1,57,10.6127,-1.3075,0.2000,0
1,58,10.6046,-1.3158,0.2000,0
1,59,10.4648,-1.4588,0.2000,0
1,60,10.3250,-1.6018,0.2000,0
