agent_id,timestep,x,y,variance,replanned
0,0,0.6628,0.6162,0.2000,0
0,1,0.8256,0.7323,0.2000,0
0,2,0.9116,0.9129,0.2000,1
0,3,0.9975,1.0935,0.2000,0
0,4,1.0405,1.1838,0.2000,0
0,5,1.1679,1.3380,0.2000,0
0,6,1.2952,1.4922,0.2000,0
0,7,1.3589,1.5693,0.2000,0
0,8,1.5014,1.7096,0.2000,0
0,9,1.6440,1.8499,0.2000,0
0,10,1.7152,1.9200,0.2000,0
0,11,1.6961,2.1191,0.2000,0
0,12,1.6769,2.3182,0.2000,0
0,13,1.6673,2.4177,0.2000,0
0,14,1.6415,2.6161,0.2000,0
0,15,1.6158,2.8144,0.2000,0
0,16,1.6029,2.9136,0.2000,0
0,17,1.7013,3.0877,0.2000,0
0,18,1.7997,3.2618,0.2000,0
0,19,1.8489,3.3489,0.2000,0
0,20,1.9989,3.4811,0.2000,0
0,21,2.1490,3.6134,0.2000,0
0,22,2.2240,3.6795,0.2000,0
0,23,2.3385,3.8435,0.2000,1
0,24,2.4530,4.0074,0.2000,0
0,25,2.5102,4.0894,0.2000,0
0,26,2.4586,4.2827,0.2000,0
0,27,2.4070,4.4759,0.2000,0
0,28,2.3812,4.5725,0.2000,0
0,29,2.4308,4.7663,0.2000,0
0,30,2.4803,4.9600,0.2000,0
0,31,2.5051,5.0569,0.2000,0
0,32,2.5793,5.2426,0.2000,0
0,33,2.6534,5.4284,0.2000,0
0,34,2.6905,5.5213,0.2000,0
0,35,2.5953,5.6971,0.2000,0
0,36,2.5001,5.8730,0.2000,0
0,37,2.4525,5.9610,0.2000,0
0,38,2.5791,6.1158,0.2000,0
0,39,2.7058,6.2706,0.2000,0
0,40,2.7691,6.3480,0.2000,0
0,41,2.6088,6.4676,0.2000,0
0,42,2.4485,6.5872,0.2000,0
0,43,2.3684,6.6470,0.2000,0
0,44,2.3017,6.8356,0.2000,0
0,45,2.2351,7.0242,0.2000,0
0,46,2.2018,7.1184,0.2000,0
0,47,2.1602,7.3141,0.2000,0
0,48,2.1186,7.5097,0.2000,0
0,49,2.0977,7.6075,0.2000,0
0,50,2.1564,7.7987,0.2000,0
0,51,2.2150,7.9899,0.2000,0
0,52,2.2443,8.0855,0.2000,0
0,53,2.1204,8.2425,0.2000,0
0,54,1.9965,8.3995,0.2000,0
0,55,1.9345,8.4780,0.2000,0
0,56,2.0408,8.6474,0.2000,0
0,57,2.1470,8.8169,0.2000,0
0,58,2.2002,8.9016,0.2000,0
0,59,2.2590,9.0928,0.2000,0
0,60,2.1943,9.2820,0.2000,1
0,61,2.1296,9.4713,0.2000,0
0,62,2.0973,9.5659,0.2000,0
0,63,2.2165,9.7265,0.2000,0
0,64,2.3358,9.8871,0.2000,0
0,65,2.3954,9.9673,0.2000,0
0,66,2.3357,10.1582,0.2000,0
0,67,2.3006,10.3551,0.2000,1
0,68,2.2655,10.5520,0.2000,0
0,69,2.2480,10.6505,0.2000,0
0,70,2.3363,10.8299,0.2000,0
0,71,2.4246,11.0094,0.2000,0
0,72,2.4687,11.0991,0.2000,0
0,73,2.5939,11.2551,0.2000,0
0,74,2.7192,11.4110,0.2000,0
0,75,2.7818,11.4890,0.2000,0
0,76,2.9049,11.6466,0.2000,0
0,77,3.0281,11.8042,0.2000,0
0,78,3.0896,11.8830,0.2000,0
0,79,3.2748,11.9586,0.2000,1
0,80,3.4599,12.0343,0.2000,0
0,81,3.5525,12.0721,0.2000,0
0,82,3.6307,12.2562,0.2000,0
0,83,3.8121,12.3404,0.2000,1
0,84,3.9935,12.4247,0.2000,0
0,85,4.0842,12.4668,0.2000,0
0,86,4.1869,12.6384,0.2000,1
0,87,4.3863,12.6239,0.2000,1
0,88,4.5808,12.5771,0.2000,1
0,89,4.6554,12.7627,0.2000,1
0,90,4.7300,12.9482,0.2000,0
0,91,4.8950,13.0613,0.2000,1
0,92,5.0601,13.1743,0.2000,0
0,93,5.1426,13.2308,0.2000,0
0,94,5.3123,13.3365,0.2000,0
0,95,5.4821,13.4422,0.2000,0
0,96,5.5670,13.4951,0.2000,0
0,97,5.7657,13.5174,0.2000,0
0,98,5.9645,13.5398,0.2000,0
0,99,6.0639,13.5510,0.2000,0
0,100,6.2596,13.5098,0.2000,0
0,101,6.4553,13.4687,0.2000,0
0,102,6.5532,13.4481,0.2000,0
0,103,6.7492,13.4086,0.2000,0
0,104,6.9453,13.3691,0.2000,0
0,105,7.0433,13.3493,0.2000,0
0,106,7.2410,13.3798,0.2000,0
0,107,7.4386,13.4103,0.2000,0
0,108,7.5375,13.4256,0.2000,0
0,109,7.6663,13.2726,0.2000,0
0,110,7.7951,13.1196,0.2000,0
0,111,7.8595,13.0431,0.2000,0
0,112,8.0458,13.1159,0.2000,0
0,113,8.2320,13.1887,0.2000,0
0,114,8.3252,13.2251,0.2000,0
0,115,8.4965,13.3283,0.2000,0
0,116,8.6678,13.4315,0.2000,0
0,117,8.7535,13.4831,0.2000,0
0,118,8.9257,13.5847,0.2000,0
0,119,9.0980,13.6864,0.2000,0
0,120,9.1841,13.7372,0.2000,0
0,121,9.3821,13.7656,0.2000,0
0,122,9.5801,13.7940,0.2000,0
0,123,9.6791,13.8082,0.2000,0
0,124,9.8770,13.8366,0.2000,1
0,125,10.0750,13.8650,0.2000,0
0,126,10.1740,13.8792,0.2000,0
0,127,10.3720,13.9076,0.2000,0
0,128,10.5699,13.9361,0.2000,0
0,129,10.6689,13.9503,0.2000,0
0,130,10.8630,13.9985,0.2000,0
0,131,11.0571,14.0468,0.2000,0
0,132,11.1541,14.0710,0.2000,0
0,133,11.3525,14.0964,0.2000,0
0,134,11.5509,14.1218,0.2000,0
0,135,11.6501,14.1345,0.2000,0
0,136,11.8484,14.1600,0.2000,0
0,137,12.0468,14.1854,0.2000,0
0,138,12.1460,14.1981,0.2000,0
0,139,12.3444,14.2236,0.2000,0
0,140,12.5428,14.2490,0.2000,0
0,141,12.6419,14.2617,0.2000,0
0,142,12.8403,14.2872,0.2000,0
0,143,13.0387,14.3126,0.2000,0
0,144,13.1379,14.3253,0.2000,0
0,145,13.3250,14.2548,0.2000,0
0,146,13.5122,14.1843,0.2000,0
0,147,13.6058,14.1490,0.2000,0
0,148,13.7919,14.2221,0.2000,0
0,149,13.9781,14.2952,0.2000,0
0,150,14.5000,14.5000,0.2000,0
1,0,14.3820,0.6615,0.2000,1
1,1,14.2093,0.7624,0.2000,1
1,2,14.0366,0.8633,0.2000,0
1,3,13.8401,0.8261,0.2000,1
1,4,13.6436,0.7890,0.2000,0
1,5,13.5453,0.7705,0.2000,0
1,6,13.4009,0.6321,0.2000,0
1,7,13.2566,0.4936,0.2000,0
1,8,13.1844,0.4244,0.2000,0
1,9,13.0365,0.2898,0.2000,0
1,10,12.8887,0.1551,0.2000,0
1,11,12.7030,0.0807,0.2000,1
1,12,12.5174,0.0063,0.2000,0
1,13,12.4245,-0.0309,0.2000,0
1,14,12.2333,-0.0893,0.2000,0
1,15,12.0420,-0.1477,0.2000,0
1,16,11.9463,-0.1769,0.2000,0
1,17,11.7590,-0.1067,0.2000,0
1,18,11.5717,-0.0366,0.2000,0
1,19,11.4781,-0.0015,0.2000,0
1,20,11.2826,0.0408,0.2000,0
1,21,11.0871,0.0830,0.2000,0
1,22,10.9894,0.1042,0.2000,0
1,23,10.7996,0.1672,0.2000,0
1,24,10.6098,0.2303,0.2000,0
1,25,10.5149,0.2618,0.2000,0
1,26,10.3848,0.4138,0.2000,0
1,27,10.2548,0.5657,0.2000,0
1,28,10.1898,0.6417,0.2000,0
