agent_id,timestep,x,y,variance,replanned
0,0,0.5150,0.6994,0.2000,0
0,1,0.5501,0.8963,0.2000,1
0,2,0.5852,1.0932,0.2000,0
0,3,0.5907,1.1237,0.2000,0
0,4,0.6258,1.3206,0.2000,0
0,5,0.6609,1.5175,0.2000,0
0,6,0.6663,1.5480,0.2000,0
0,7,0.7014,1.7449,0.2000,0
0,8,0.7365,1.9418,0.2000,0
0,9,0.7420,1.9723,0.2000,0
0,10,0.7771,2.1692,0.2000,0
0,11,0.8122,2.3661,0.2000,0
0,12,0.8176,2.3966,0.2000,0
0,13,0.8528,2.5935,0.2000,0
0,14,0.8879,2.7904,0.2000,0
0,15,0.8933,2.8209,0.2000,0
0,16,0.9284,3.0178,0.2000,0
0,17,0.9635,3.2147,0.2000,0
0,18,0.9690,3.2452,0.2000,0
0,19,1.0041,3.4421,0.2000,0
0,20,1.0392,3.6390,0.2000,0
0,21,1.0750,3.8358,0.2000,1
0,22,1.1109,4.0325,0.2000,0
0,23,1.1183,4.0730,0.2000,0
0,24,1.1541,4.2698,0.2000,0
0,25,1.1900,4.4665,0.2000,0
0,26,1.1974,4.5070,0.2000,0
0,27,1.2332,4.7038,0.2000,0
0,28,1.2691,4.9005,0.2000,0
0,29,1.2765,4.9410,0.2000,0
0,30,1.3123,5.1378,0.2000,0
0,31,1.3482,5.3346,0.2000,0
0,32,1.3555,5.3751,0.2000,0
0,33,1.3914,5.5718,0.2000,0
0,34,1.4272,5.7686,0.2000,0
0,35,1.4346,5.8091,0.2000,0
0,36,1.4705,6.0058,0.2000,0
0,37,1.5063,6.2026,0.2000,0
0,38,1.5268,6.4015,0.2000,1
0,39,1.5449,6.5771,0.2000,0
0,40,1.5654,6.7760,0.2000,0
0,41,1.5834,6.9515,0.2000,0
0,42,1.6039,7.1505,0.2000,0
0,43,1.6220,7.3260,0.2000,0
0,44,1.6424,7.5249,0.2000,0
0,45,1.6605,7.7005,0.2000,0
0,46,1.6810,7.8994,0.2000,0
0,47,1.6991,8.0749,0.2000,0
0,48,1.7195,8.2739,0.2000,0
0,49,1.7376,8.4494,0.2000,0
0,50,1.7581,8.6483,0.2000,0
0,51,1.7761,8.8239,0.2000,0
0,52,1.7966,9.0228,0.2000,0
0,53,1.8147,9.1983,0.2000,0
0,54,1.8352,9.3973,0.2000,0
0,55,1.8532,9.5728,0.2000,0
0,56,1.8737,9.7717,0.2000,0
0,57,1.8918,9.9473,0.2000,0
0,58,1.9122,10.1462,0.2000,0
0,59,1.9303,10.3217,0.2000,0
0,60,1.9508,10.5207,0.2000,0
0,61,1.9689,10.6962,0.2000,0
0,62,2.0834,10.8602,0.2000,0
0,63,2.1979,11.0241,0.2000,0
0,64,2.2444,11.0906,0.2000,0
0,65,2.3589,11.2545,0.2000,0
0,66,2.5074,11.3884,0.2000,1
0,67,2.6560,11.5223,0.2000,0
0,68,2.6667,11.5319,0.2000,0
0,69,2.8152,11.6658,0.2000,0
0,70,2.9638,11.7997,0.2000,0
0,71,2.9745,11.8094,0.2000,0
0,72,3.1230,11.9433,0.2000,0
0,73,3.2716,12.0772,0.2000,0
0,74,3.2823,12.0868,0.2000,0
0,75,3.4308,12.2207,0.2000,0
0,76,3.5794,12.3546,0.2000,0
0,77,3.5900,12.3642,0.2000,0
0,78,3.7773,12.4344,0.2000,0
0,79,3.9737,12.4723,0.2000,1
0,80,4.1701,12.5101,0.2000,0
0,81,4.3665,12.5479,0.2000,1
0,82,4.5629,12.5858,0.2000,0
0,83,4.5833,12.5897,0.2000,0
0,84,4.7797,12.6275,0.2000,1
0,85,4.9760,12.6654,0.2000,1
0,86,5.1724,12.7032,0.2000,0
0,87,5.2215,12.7126,0.2000,0
0,88,5.4179,12.7505,0.2000,0
0,89,5.6143,12.7883,0.2000,0
0,90,5.6633,12.7978,0.2000,0
0,91,5.8597,12.8356,0.2000,0
0,92,6.0561,12.8734,0.2000,0
0,93,6.1052,12.8829,0.2000,0
0,94,6.3015,12.9207,0.2000,0
0,95,6.4979,12.9585,0.2000,0
0,96,6.5470,12.9680,0.2000,0
0,97,6.7434,13.0058,0.2000,0
