agent_id,timestep,x,y,variance,replanned
0,0,8.1281,1.1536,0.2000,0
0,1,8.2561,1.3072,0.2000,0
0,2,8.3202,1.3841,0.2000,0
0,3,8.5201,1.3905,0.2000,0
0,4,8.7132,1.3385,0.2000,1
0,5,8.5615,1.2081,0.2000,1
0,6,8.4098,1.0778,0.2000,0
0,7,8.3340,1.0126,0.2000,0
0,8,8.1457,0.9451,0.2000,0
0,9,7.9574,0.8777,0.2000,0
0,10,7.9580,1.0777,0.2000,1
0,11,7.9586,1.2777,0.2000,0
0,12,7.9589,1.3777,0.2000,0
0,13,7.9433,1.5771,0.2000,0
0,14,7.9277,1.7765,0.2000,0
0,15,7.9199,1.8762,0.2000,0
0,16,7.7203,1.8885,0.2000,0
0,17,7.5206,1.9009,0.2000,0
0,18,7.4208,1.9071,0.2000,0
0,19,7.2213,1.8931,0.2000,0
0,20,7.0218,1.8791,0.2000,0
0,21,6.9221,1.8721,0.2000,0
0,22,6.7531,1.9792,0.2000,0
0,23,6.5842,2.0863,0.2000,0
0,24,6.4998,2.1398,0.2000,0
0,25,6.3006,2.1584,0.2000,0
0,26,6.1015,2.1770,0.2000,0
0,27,6.0019,2.1863,0.2000,0
0,28,5.8120,2.2491,0.2000,0
0,29,5.6221,2.3118,0.2000,0
0,30,5.5272,2.3432,0.2000,0
0,31,5.3595,2.4523,0.2000,0
0,32,5.1919,2.5613,0.2000,0
0,33,5.1081,2.6159,0.2000,0
0,34,4.9307,2.5234,0.2000,0
0,35,4.7534,2.4309,0.2000,0
0,36,4.6647,2.3846,0.2000,0
0,37,4.5306,2.5330,0.2000,0
0,38,4.3965,2.6814,0.2000,0
0,39,4.3295,2.7555,0.2000,0
0,40,4.1462,2.6755,0.2000,0
0,41,3.9629,2.5954,0.2000,0
0,42,3.8713,2.5554,0.2000,0
0,43,3.7264,2.6932,0.2000,0
0,44,3.5814,2.8311,0.2000,0
0,45,3.5090,2.9000,0.2000,0
0,46,3.4128,3.0754,0.2000,0
0,47,3.3167,3.2508,0.2000,0
0,48,3.2686,3.3384,0.2000,0
0,49,3.0919,3.4320,0.2000,0
0,50,2.9151,3.5255,0.2000,0
0,51,2.8267,3.5723,0.2000,0
0,52,2.7271,3.7457,0.2000,0
0,53,2.6275,3.9192,0.2000,0
0,54,2.5777,4.0059,0.2000,0
0,55,2.5219,4.1980,0.2000,0
0,56,2.4661,4.3900,0.2000,0
0,57,2.4381,4.4860,0.2000,0
0,58,2.4172,4.6849,0.2000,0
0,59,2.3962,4.8838,0.2000,0
0,60,2.3858,4.9833,0.2000,0
0,61,2.2329,5.1123,0.2000,0
0,62,2.0801,5.2413,0.2000,0
0,63,2.0037,5.3058,0.2000,0
0,64,1.8412,5.4224,0.2000,0
0,65,1.6787,5.5390,0.2000,0
0,66,1.5975,5.5973,0.2000,0
0,67,1.5791,5.7965,0.2000,0
0,68,1.5608,5.9956,0.2000,0
0,69,1.5516,6.0952,0.2000,0
0,70,1.5367,6.2946,0.2000,0
0,71,1.5217,6.4941,0.2000,0
0,72,1.5142,6.5938,0.2000,0
0,73,1.5842,6.7812,0.2000,0
0,74,1.6541,6.9685,0.2000,0
0,75,1.6891,7.0622,0.2000,0
0,76,1.6643,7.2607,0.2000,0
0,77,1.6395,7.4591,0.2000,0
0,78,1.6271,7.5584,0.2000,0
0,79,1.6725,7.7531,0.2000,0
0,80,1.7179,7.9479,0.2000,0
0,81,1.7406,8.0453,0.2000,0
0,82,1.7295,8.2450,0.2000,0
0,83,1.7184,8.4447,0.2000,0
0,84,1.7128,8.5445,0.2000,0
0,85,1.6988,8.7440,0.2000,0
0,86,1.6848,8.9436,0.2000,0
0,87,1.6778,9.0433,0.2000,0
0,88,1.8048,9.1978,0.2000,0
0,89,1.9318,9.3523,0.2000,0
