agent_id,timestep,x,y,variance,replanned
0,0,1.1903,1.0615,0.2000,1
0,1,1.3875,1.0946,0.2000,1
0,2,1.5848,1.1278,0.2000,0
0,3,1.6834,1.1444,0.2000,0
0,4,1.8506,1.2541,0.2000,0
0,5,2.0178,1.3638,0.2000,0
0,6,2.1015,1.4186,0.2000,0
0,7,2.3002,1.3962,0.2000,0
0,8,2.4989,1.3737,0.2000,0
0,9,2.5983,1.3625,0.2000,0
0,10,2.7940,1.3213,0.2000,0
0,11,2.9897,1.2800,0.2000,0
0,12,3.0876,1.2594,0.2000,0
0,13,3.2872,1.2709,0.2000,0
0,14,3.4869,1.2823,0.2000,0
0,15,3.5867,1.2880,0.2000,0
0,16,3.7729,1.2150,0.2000,0
0,17,3.9591,1.1419,0.2000,0
0,18,4.0522,1.1054,0.2000,0
0,19,4.2410,1.0393,0.2000,0
0,20,4.4297,0.9733,0.2000,0
0,21,4.5241,0.9403,0.2000,0
0,22,4.7111,1.0112,0.2000,0
0,23,4.8981,1.0821,0.2000,0
0,24,4.9916,1.1176,0.2000,0
0,25,5.1892,1.1489,0.2000,0
0,26,5.3867,1.1802,0.2000,0
0,27,5.4855,1.1958,0.2000,0
0,28,5.6838,1.1698,0.2000,1
0,29,5.8821,1.1438,0.2000,0
0,30,5.9812,1.1307,0.2000,0
0,31,6.1647,1.2103,0.2000,0
0,32,6.3482,1.2899,0.2000,0
0,33,6.4400,1.3297,0.2000,0
0,34,6.6094,1.2234,0.2000,1
0,35,6.7324,1.0658,0.2000,1
0,36,6.8555,0.9081,0.2000,0
0,37,6.9170,0.8293,0.2000,0
0,38,6.9796,0.6393,0.2000,0
0,39,7.0422,0.4494,0.2000,0
0,40,7.0735,0.3544,0.2000,0
0,41,7.2724,0.3754,0.2000,0
0,42,7.4713,0.3964,0.2000,0
0,43,7.5708,0.4069,0.2000,0
0,44,7.7690,0.4335,0.2000,0
0,45,7.9672,0.4602,0.2000,0
