agent_id,timestep,x,y,variance,replanned
0,0,4.8212,-0.9105,0.2000,1
0,1,4.6423,-0.8209,0.2000,0
0,2,4.5529,-0.7762,0.2000,0
0,3,4.3958,-0.6525,0.2000,0
0,4,4.2386,-0.5287,0.2000,0
0,5,4.1600,-0.4669,0.2000,0
0,6,4.1896,-0.2691,0.2000,0
0,7,4.2192,-0.0713,0.2000,0
0,8,4.3587,0.0721,0.2000,1
0,9,4.4981,0.2154,0.2000,0
0,10,4.5678,0.2871,0.2000,0
0,11,4.5115,0.4790,0.2000,0
0,12,4.4551,0.6709,0.2000,0
0,13,4.4269,0.7668,0.2000,0
0,14,4.2625,0.8807,0.2000,0
0,15,4.0980,0.9946,0.2000,0
0,16,4.0158,1.0515,0.2000,0
0,17,3.8219,1.1005,0.2000,0
0,18,3.6280,1.1495,0.2000,0
0,19,3.5311,1.1740,0.2000,0
0,20,3.4247,1.3434,0.2000,0
0,21,3.3184,1.5128,0.2000,0
0,22,3.2653,1.5975,0.2000,0
0,23,3.2049,1.7881,0.2000,0
0,24,3.0829,1.9467,0.2000,1
0,25,2.9610,2.1052,0.2000,0
0,26,2.8011,2.2253,0.2000,1
0,27,2.6411,2.3453,0.2000,0
0,28,2.4787,2.4620,0.2000,1
0,29,2.3163,2.5788,0.2000,0
0,30,2.2351,2.6371,0.2000,0
0,31,2.0765,2.7589,0.2000,0
0,32,1.9179,2.8808,0.2000,0
0,33,1.8386,2.9417,0.2000,0
0,34,1.7184,3.1016,0.2000,0
0,35,1.5982,3.2615,0.2000,0
0,36,1.5381,3.3414,0.2000,0
0,37,1.4454,3.5186,0.2000,0
0,38,1.3527,3.6958,0.2000,0
0,39,1.3063,3.7844,0.2000,0
0,40,1.1319,3.8823,0.2000,0
0,41,0.9575,3.9801,0.2000,0
0,42,0.8702,4.0290,0.2000,0
0,43,0.8529,4.2283,0.2000,0
0,44,0.7983,4.4207,0.2000,1
0,45,0.7438,4.6131,0.2000,0
0,46,0.7165,4.7093,0.2000,0
0,47,0.7012,4.9087,0.2000,0
0,48,0.6858,5.1081,0.2000,0
0,49,0.6781,5.2078,0.2000,0
0,50,0.7643,5.3883,0.2000,0
0,51,0.8506,5.5687,0.2000,0
0,52,0.8937,5.6590,0.2000,0
0,53,0.8724,5.8578,0.2000,0
0,54,0.8511,6.0567,0.2000,0
0,55,0.8404,6.1561,0.2000,0
0,56,0.8191,6.3550,0.2000,0
0,57,0.7978,6.5539,0.2000,0
0,58,0.7871,6.6533,0.2000,0
0,59,0.7658,6.8521,0.2000,0
0,60,0.7445,7.0510,0.2000,0
0,61,0.7339,7.1504,0.2000,0
0,62,0.7095,7.3490,0.2000,0
0,63,0.6852,7.5475,0.2000,0
0,64,0.6730,7.6467,0.2000,0
0,65,0.5920,7.8296,0.2000,0
0,66,0.5110,8.0124,0.2000,0
0,67,0.4704,8.1039,0.2000,0
0,68,0.3512,8.2644,0.2000,0
0,69,0.2319,8.4249,0.2000,0
0,70,0.1722,8.5052,0.2000,0
0,71,0.1370,8.7021,0.2000,0
0,72,0.1017,8.8989,0.2000,0
0,73,0.0841,8.9974,0.2000,0
0,74,0.0807,9.1973,0.2000,0
0,75,0.0773,9.3973,0.2000,0
0,76,0.0757,9.4973,0.2000,0
0,77,0.0723,9.6973,0.2000,0
0,78,0.0689,9.8972,0.2000,0
0,79,0.0673,9.9972,0.2000,0
0,80,0.0639,10.1972,0.2000,0
0,81,0.0605,10.3972,0.2000,0
0,82,0.0589,10.4971,0.2000,0
0,83,0.1152,10.6890,0.2000,0
0,84,0.1716,10.8809,0.2000,0
0,85,0.1998,10.9769,0.2000,0
0,86,0.1122,11.1567,0.2000,0
0,87,0.0246,11.3365,0.2000,0
0,88,-0.0192,11.4264,0.2000,0
0,89,-0.0177,11.6264,0.2000,0
0,90,-0.0162,11.8264,0.2000,0
0,91,-0.0147,12.0264,0.2000,1
0,92,-0.0132,12.2264,0.2000,0
0,93,-0.0117,12.4264,0.2000,1
0,94,-0.0102,12.6264,0.2000,0
0,95,-0.0095,12.7264,0.2000,0
0,96,0.0858,12.9022,0.2000,0
0,97,0.1811,13.0780,0.2000,0
0,98,0.2287,13.1660,0.2000,0
0,99,0.1470,13.3485,0.2000,0
0,100,0.0000,14.0000,0.2000,0
1,0,1.0025,1.8000,0.2000,1
1,1,1.1474,1.6621,0.2000,1
1,2,1.2923,1.5243,0.2000,0
1,3,1.3647,1.4553,0.2000,0
1,4,1.2405,1.2985,0.2000,0
1,5,1.0667,1.1997,0.2000,1
1,6,0.8928,1.1008,0.2000,0
1,7,0.8059,1.0513,0.2000,0
1,8,0.6593,0.9153,0.2000,0
1,9,0.5128,0.7792,0.2000,0
1,10,0.4395,0.7111,0.2000,0
1,11,0.2921,0.5760,0.2000,0
1,12,0.1446,0.4409,0.2000,0
1,13,0.0709,0.3733,0.2000,0
1,14,0.1769,0.2037,0.2000,0
